	model	error_type	target	specific_error	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
58	../final/models/models_2nd_run/model3_35	Word	joy	Adjacent Key	1.0	0.6285714285714286	0.7719298245614035	1.0	0.6285714285714286	0.7719298245614035	0.6285714285714286
59	../final/models/models_2nd_run/model3_35	Word	joy	Missing Letter	1.0	0.5714285714285714	0.7272727272727273	1.0	0.5714285714285714	0.7272727272727273	0.5714285714285714
60	../final/models/models_2nd_run/model3_35	Word	joy	Repeating Letter	1.0	0.5714285714285714	0.7272727272727273	1.0	0.5714285714285714	0.7272727272727273	0.5714285714285714
61	../final/models/models_2nd_run/model3_35	Word	joy	Scrambled Letter	1.0	0.6578947368421053	0.7936507936507936	1.0	0.6578947368421053	0.7936507936507936	0.6578947368421053
62	../final/models/models_2nd_run/model3_35	Word	nervousness	Adjacent Key	1.0	0.14285714285714285	0.25	1.0	0.14285714285714285	0.25	0.14285714285714285
63	../final/models/models_2nd_run/model3_35	Word	nervousness	Missing Letter	1.0	0.625	0.7692307692307693	1.0	0.625	0.7692307692307693	0.625
64	../final/models/models_2nd_run/model3_35	Word	nervousness	Repeating Letter	1.0	0.6666666666666666	0.8	1.0	0.6666666666666666	0.8	0.6666666666666666
65	../final/models/models_2nd_run/model3_35	Word	nervousness	Scrambled Letter	1.0	0.3333333333333333	0.5	1.0	0.3333333333333333	0.5	0.3333333333333333
66	../final/models/models_2nd_run/model3_35	Word	neutral	Adjacent Key	1.0	0.4411764705882353	0.6122448979591837	1.0	0.4411764705882353	0.6122448979591837	0.4411764705882353
67	../final/models/models_2nd_run/model3_35	Word	neutral	Missing Letter	1.0	0.45454545454545453	0.625	1.0	0.45454545454545453	0.625	0.45454545454545453
68	../final/models/models_2nd_run/model3_35	Word	neutral	Repeating Letter	1.0	0.6	0.75	1.0	0.6	0.75	0.6
69	../final/models/models_2nd_run/model3_35	Word	neutral	Scrambled Letter	1.0	0.5161290322580645	0.6808510638297872	1.0	0.5161290322580645	0.6808510638297872	0.5161290322580645
70	../final/models/models_2nd_run/model3_35	Word	pride	Adjacent Key	1.0	0.5806451612903226	0.7346938775510204	1.0	0.5806451612903226	0.7346938775510204	0.5806451612903226
71	../final/models/models_2nd_run/model3_35	Word	pride	Missing Letter	1.0	0.46153846153846156	0.631578947368421	1.0	0.46153846153846156	0.631578947368421	0.46153846153846156
72	../final/models/models_2nd_run/model3_35	Word	pride	Repeating Letter	1.0	0.5555555555555556	0.7142857142857143	1.0	0.5555555555555556	0.7142857142857143	0.5555555555555556
73	../final/models/models_2nd_run/model3_35	Word	pride	Scrambled Letter	1.0	0.38461538461538464	0.5555555555555556	1.0	0.38461538461538464	0.5555555555555556	0.38461538461538464
74	../final/models/models_2nd_run/model3_35	Word	sadness	Adjacent Key	1.0	0.6666666666666666	0.8	1.0	0.6666666666666666	0.8	0.6666666666666666
75	../final/models/models_2nd_run/model3_35	Word	sadness	Missing Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	../final/models/models_2nd_run/model3_35	Word	sadness	Repeating Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77	../final/models/models_2nd_run/model3_35	Word	sadness	Scrambled Letter	1.0	1.0	1.0	1.0	1.0	1.0	1.0
78	../final/models/models_2nd_run/model3_35	Word	surprise	Adjacent Key	1.0	0.25	0.4	1.0	0.25	0.4	0.25
79	../final/models/models_2nd_run/model3_35	Word	surprise	Missing Letter	1.0	0.1111111111111111	0.2	1.0	0.1111111111111111	0.2	0.1111111111111111
80	../final/models/models_2nd_run/model3_35	Word	surprise	Repeating Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	../final/models/models_2nd_run/model3_35	Word	surprise	Scrambled Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
